Question,Clicker ID,Final Response
11,#915C36FB,B
11,#916E758A,B
11,#916EE31C,C
11,#930E40DD,A
11,#9574E302,A
11,#962F823B,C
11,#969C5A50,B
11,#969F4E47,C
11,#969F6069,C
11,#97387CD3,B
11,#974E4099,C
11,#974F33EB,C
11,#975062A5,B
11,#97C40D5E,D
11,#97C4D586,B
11,#97C90957,C
11,#97C95C02,C
11,#97F13C5A,B
11,#982ACA78,B
11,#982E49FF,C
11,#982EA315,C
11,#982EE650,B
11,#98305FF7,B
11,#9832309A,C
11,#98329C36,C
11,#9837A00F,C
11,#98F87616,
11,#9925E458,B
11,#99328823,B
11,#9999B9B9,B
11,#999A6E6D,A
11,#9A1AD757,A
11,#9A1F0E8B,A
11,#9A233881,B
11,#9A27328F,C
11,#9A2B3283,B
11,#9A2DFB4C,C
11,#9A3E5DF9,B
11,#9A40E238,A
11,#9A4530EF,C
11,#9A542AE4,B
11,#9A565B97,A
11,#9A705FB5,C
11,#9A735EB7,B
11,#9A75719E,B
11,#9A7742AF,B
11,#9A7FEA0F,C
11,#9A8B3C2D,C
11,#9A94636D,C
11,#9A99B8BB,A
11,#9A9C5355,B
11,#9A9CE4E2,C
11,#9AA2320A,D
11,#9AA2350D,C
11,#9AA30E37,
11,#9AB0416B,B
11,#9ACFAAFF,A
11,#9AD68BC7,C
11,#9B0A61F0,A
11,#9B7145AF,B
11,#9B7B2ACA,B
11,#9B8D7563,B
11,#9B9E5752,C
11,#9D4F7DAF,A
11,#9D533AF4,B
11,#9D7208E7,B
11,#9EB85472,C
11,#9F25DB61,B
11,#9F276DD5,C
11,#9F27843C,B
11,#A23A0F97,B
11,#A24DB35C,B
11,#A497794A,B
11,#A592AB9C,B
11,#A5CF167C,
11,#A6A9535C,C
12,#012CF9D4,B
12,#39758DC1,C
12,#802BA40F,C
12,#819DD5C9,B
12,#82A25E7E,B
12,#82E06103,B
12,#8418168A,B
12,#84202480,B
12,#842643E1,B
12,#84451DDC,C
12,#847057A3,B
12,#847630C2,C
12,#84AF6F44,B
12,#85B35E68,C
12,#8673C431,B
12,#88304BF3,C
12,#88498243,C
12,#88D21F45,A
12,#88F65927,A
12,#88F85727,B
12,#89019C14,B
12,#8901D75F,C
12,#89063EB1,B
12,#89887B7A,
12,#8A4E10D4,B
12,#8AF17902,C
12,#8B180F9C,B
12,#8B187BE8,C
12,#8B3AF243,B
12,#8B6CDC3B,C
12,#8DF11569,B
12,#8DFAA0D7,B
12,#8E18F462,C
12,#8E881513,B
12,#8E8E9494,C
12,#8E99FEE9,B
12,#8F474C84,C
12,#906EE21C,A
12,#907007E7,B
12,#90726082,B
12,#90EA5228,B
12,#9139D57D,A
12,#9147EC3A,D
12,#915C36FB,C
12,#916E758A,A
12,#916EE31C,C
12,#930E40DD,C
12,#9574E302,B
12,#962F823B,C
12,#969C5A50,B
12,#969F4E47,C
12,#969F6069,C
12,#97387CD3,
12,#974E4099,C
12,#974F33EB,C
12,#975062A5,D
12,#97C40D5E,C
12,#97C4D586,B
12,#97C90957,C
12,#97C95C02,C
12,#97F13C5A,
12,#982ACA78,B
12,#982E49FF,C
12,#982EA315,B
12,#982EE650,
12,#98305FF7,B
12,#9832309A,C
12,#98329C36,C
12,#9837A00F,B
12,#98F87616,
12,#9925E458,B
12,#99328823,B
12,#9999B9B9,B
12,#999A6E6D,B
12,#9A1AD757,B
12,#9A1F0E8B,B
12,#9A233881,B
12,#9A27328F,C
12,#9A2B3283,B
12,#9A2DFB4C,C
12,#9A3E5DF9,B
12,#9A40E238,C
12,#9A4530EF,C
12,#9A542AE4,B
12,#9A565B97,C
12,#9A705FB5,C
12,#9A735EB7,B
12,#9A75719E,B
12,#9A7742AF,
12,#9A7FEA0F,C
12,#9A8B3C2D,C
12,#9A94636D,C
12,#9A99B8BB,B
12,#9A9C5355,B
12,#9A9CE4E2,C
12,#9AA2320A,C
12,#9AA2350D,C
12,#9AA30E37,
12,#9AB0416B,B
12,#9ACFAAFF,A
12,#9AD68BC7,C
12,#9B0A61F0,B
12,#9B7145AF,B
12,#9B7B2ACA,B
12,#9B8D7563,B
12,#9B9E5752,C
12,#9D4F7DAF,B
12,#9D533AF4,B
12,#9D7208E7,B
12,#9EB85472,B
12,#9F25DB61,B
12,#9F276DD5,C
12,#9F27843C,B
12,#A23A0F97,B
12,#A24DB35C,C
12,#A497794A,C
12,#A592AB9C,A
12,#A5CF167C,
12,#A6A9535C,
